MessageType,TransmissionType,SessionID,AircraftID,HexIdent,FlightID,DateGenerated,TimeGenerated,DateLogged,TimeLogged,Callsign,Altitude,GroundSpeed,Track,Latitude,Longitude,VerticalRate,Squawk,Alert,Emergency,SPI,IsOnGround
MSG,3,,,3474C7,,2025/11/19,13:14:05.179,2025/11/19,13:14:05.179,ICA3474C7,4593,104.0,63.0,36.85205,-4.28040,,,0,0,0,0
MSG,3,,,4C348C,,2025/11/19,13:14:05.180,2025/11/19,13:14:05.180,ICA4C348C,37481,434.0,25.0,51.79430,8.04423,,,0,0,0,0
MSG,3,,,3CEEE1,,2025/11/19,13:14:05.181,2025/11/19,13:14:05.181,ICA3CEEE1,38262,385.0,232.0,53.96203,8.75915,,,0,0,0,0
MSG,3,,,484442,,2025/11/19,13:14:05.182,2025/11/19,13:14:05.182,PH-BXU,3732,205.0,239.0,52.11817,4.46763,,,0,0,0,0
MSG,3,,,34644E,,2025/11/19,13:14:05.183,2025/11/19,13:14:05.183,ICA34644E,16822,353.0,256.0,40.59195,-4.07315,,,0,0,0,0
MSG,3,,,49D508,,2025/11/19,13:14:05.185,2025/11/19,13:14:05.185,ICA49D508,42318,385.0,216.0,46.09368,10.66592,,,0,0,0,0
MSG,3,,,3FF1AA,,2025/11/19,13:14:0,,,,,,,,,,,,,,
MSG,3,,,495212,,2025/11/19,13:14:05.192,2025/11/19,13:14:05.192,ICA495212,12224,259.0,229.0,38.49563,-8.64082,,,0,0,0,0
MSG,3,,,3FFC4A,,2025/11/19,13:14:05.192,2025/11/19,13:14:05.192,D-MOMO,3143,111.0,170.0,48.63057,9.54837,,,0,0,0,0
MSG,3,,,346090,,2025/11/19,13:14:05.194,2025/11/19,13:14:05.194,ICA346090,3990,245.0,201.0,41.42628,2.347,,,,,,
MSG,3,,,4407FD,,2025/11/19,13:14:05.196,2025/11/19,13:14:05.196,ICA4407FD,15493,129.0,270.0,50.20035,11.52757,,,0,0,0,0
MSG,3,,,49146F,,2025/11/19,13:14:05.197,2025/11/19,13:14:05.197,ICA49146F,4720,92.0,340.0,39.55545,-7.53597,,,0,0,0,0
MSG,3,,,395D6E,,2025/11/19,13:14:05.199,2025/11/19,13:14:05.199,ICA395D6E,17068,340.0,216.0,48.22337,-1.32957,,,0,0,0,0
MSG,3,,,0A0078,,2025/11/19,13:14:05.200,2025/11/19,13:14:05.200,7T-VKH,9906,293.0,143.0,48.84270,6.27707,,,0,0,0,0
MSG,3,,,4851B1,,2025/11/19,13:14:05.202,2025/11/19,13:14:05.202,ICA4851B1,10724,357.0,234.0,52.34730,4.26650,,,0,0,0,0
MSG,3,,,484B90,,2025/11/19,13:14:05.203,2025/11/19,13:14:05.203,PH-BGI,11952,325.0,218.0,52.63320,5.72377,,,0,0,0,0
MSG,3,,,45214B,,2025/11/19,13:14:05.205,2025/11/19,13:14:05.205,ICA45214B,6963,297.0,98.0,50.79398,7.46703,,,0,0,0,0
MSG,3,,,4B07BD,,2025/11/19,13:14:05.205,2025/11/19,13:14:05.205,HB-CYF,3117,104.0,355.0,47.50828,8.81222,,,0,0,0,0
MSG,3,,,49D508,,2025/11/19,13:14:05.206,2025/11/19,13:14:05.206,ICA49D5,,,,,,,,,,,
MSG,3,,,4D2220,,2025/11/19,13:14:05.208,2025/11/19,13:14:05.208,ICA4D2220,1827,153.0,245.0,50.49030,4.55750,,,0,0,0,0
MSG,3,,,47A249,,2025/11/19,13:14:05.209,2025/11/19,13:14:05.209,ICA47A249,6046,120.0,357.0,59.11980,10.61498,,,0,0,0,0
